symbol,date,price,action,trade_profit,total_profit
SHEL,2025-02-04,260.5,Buy,,
SHEL,2025-02-10,252.0,Sell,-8.5,42.10000000000002
SHEL,2025-03-05,280.4,Buy,,
SHEL,2025-03-10,260.2,Sell,-20.19999999999999,21.900000000000034
SHEL,2025-05-06,274.84,Buy,,
SHEL,2025-05-14,265.97,Sell,-8.869999999999948,13.030000000000086
SHEL,2025-06-16,292.34,Buy,,
SHEL,2025-06-17,297.0,Sell,4.660000000000025,17.69000000000011
SHEL,,,STOCK_PROFIT,,17.69000000000011
SHINE,2021-04-18,285.0,Buy,,
SHINE,2021-04-21,283.0,Sell,-2.0,-2.0
SHINE,2021-05-19,315.0,Buy,,
SHINE,2021-06-14,459.0,Sell,144.0,142.0
SHINE,2021-07-07,407.0,Buy,,
SHINE,2021-07-26,455.0,Sell,48.0,190.0
SHINE,2021-08-02,466.0,Buy,,
SHINE,2021-08-23,574.0,Sell,108.0,298.0
SHINE,2025-01-21,404.0,Buy,,
SHINE,2025-02-13,437.0,Sell,33.0,331.0
SHINE,2025-03-05,433.0,Buy,,
SHINE,2025-03-16,430.5,Sell,-2.5,328.5
SHINE,,,STOCK_PROFIT,,328.5
SHIVM,2021-06-06,1497.0,Buy,,
SHIVM,2021-06-16,1542.0,Sell,45.0,45.0
SHIVM,2021-07-04,1499.0,Buy,,
SHIVM,2021-07-13,1459.0,Sell,-40.0,5.0
SHIVM,2021-08-01,1547.0,Buy,,
SHIVM,2021-08-24,1699.0,Sell,152.0,157.0
SHIVM,2023-06-13,506.5,Buy,,
SHIVM,2023-07-06,597.0,Sell,90.5,247.5
SHIVM,2023-07-20,635.0,Buy,,
SHIVM,2023-07-25,621.0,Sell,-14.0,233.5
SHIVM,2023-12-27,563.0,Buy,,
SHIVM,2024-01-02,575.0,Sell,12.0,245.5
SHIVM,2024-08-07,638.0,Buy,,
SHIVM,2024-08-25,679.0,Sell,41.0,286.5
SHIVM,,,STOCK_PROFIT,,286.5
SHL,2021-05-22,215.0,Buy,,
SHL,2021-06-09,242.0,Sell,27.0,27.0
SHL,2021-07-12,267.0,Buy,,
SHL,2021-08-04,288.0,Sell,21.0,48.0
SHL,2022-01-17,239.9,Buy,,
SHL,2022-01-18,231.2,Sell,-8.700000000000017,39.29999999999998
SHL,2022-03-20,232.4,Buy,,
SHL,2022-03-26,224.0,Sell,-8.400000000000006,30.899999999999977
SHL,2023-04-24,252.8,Buy,,
SHL,2023-05-04,262.0,Sell,9.199999999999989,40.099999999999966
SHL,2023-05-15,257.0,Buy,,
SHL,2023-05-16,258.0,Sell,1.0,41.099999999999966
SHL,2023-05-31,286.0,Buy,,
SHL,2023-07-02,483.0,Sell,197.0,238.09999999999997
SHL,2023-12-17,471.0,Buy,,
SHL,2023-12-21,468.8,Sell,-2.1999999999999886,235.89999999999998
SHL,2024-01-22,461.0,Buy,,
SHL,2024-01-25,461.0,Sell,0.0,235.89999999999998
SHL,2024-07-24,517.0,Buy,,
SHL,2024-07-28,518.6,Sell,1.6000000000000227,237.5
SHL,2024-11-12,562.0,Buy,,
SHL,2024-11-28,520.0,Sell,-42.0,195.5
SHL,2025-05-06,500.85,Buy,,
SHL,2025-05-25,563.14,Sell,62.289999999999964,257.78999999999996
SHL,,,STOCK_PROFIT,,257.78999999999996
SHLB,,,STOCK_PROFIT,,0
SHPC,2021-04-11,370.0,Buy,,
SHPC,2021-04-18,373.0,Sell,3.0,3.0
SHPC,2021-05-03,386.0,Buy,,
SHPC,2021-05-22,416.0,Sell,30.0,33.0
SHPC,2021-06-01,506.0,Buy,,
SHPC,2021-06-15,530.0,Sell,24.0,57.0
SHPC,2023-04-18,337.0,Buy,,
SHPC,2023-04-30,333.0,Sell,-4.0,53.0
SHPC,2023-06-13,383.7,Buy,,
SHPC,2023-06-22,371.0,Sell,-12.699999999999989,40.30000000000001
SHPC,2023-12-17,356.0,Buy,,
SHPC,2024-01-01,352.0,Sell,-4.0,36.30000000000001
SHPC,2024-01-11,365.0,Buy,,
SHPC,2024-01-22,357.0,Sell,-8.0,28.30000000000001
SHPC,2024-08-13,591.6,Buy,,
SHPC,2024-08-22,618.0,Sell,26.399999999999977,54.69999999999999
SHPC,2024-12-03,583.0,Buy,,
SHPC,2024-12-08,540.0,Sell,-43.0,11.699999999999989
SHPC,2025-05-05,583.63,Buy,,
SHPC,2025-05-14,571.16,Sell,-12.470000000000027,-0.7700000000000387
