symbol,date,open,high,low,close,volume,turnover
GRDBL,2025/06/25,"1,178.20","1,200.00","1,155.00","1,192.48","13,394","15,711,537.60"
GSY,2025/06/29,9.25,9.31,9.25,9.25,"16,620","154,542.00"
GSY,2025/06/26,9.41,9.41,9.06,9.24,"6,152","56,658.82"
GSY,2025/06/25,9.18,9.45,9.18,9.41,"16,448","154,065.60"
GUFL,2025/06/29,536.00,536.00,528.00,532.07,"9,732","5,166,874.60"
GUFL,2025/06/26,540.00,540.00,530.20,530.84,"6,362","3,380,710.80"
GUFL,2025/06/25,535.10,540.00,529.00,529.90,"11,670","6,206,406.80"
GVL,2025/06/29,448.00,483.80,442.00,480.07,"175,442","82,690,292.40"
GVL,2025/06/26,444.00,456.00,441.30,448.86,"38,200","17,211,884.60"
GVL,2025/06/25,439.10,449.80,439.10,444.36,"5,806","2,580,161.30"
H8020,2025/06/29,11.10,11.42,10.91,11.42,"14,450","161,352.50"
H8020,2025/06/26,11.03,11.57,11.00,11.10,"931,545","10,507,219.61"
H8020,2025/06/25,11.20,11.20,11.10,11.13,"11,000","123,127.00"
HATHY,2025/06/29,"1,202.00","1,217.70","1,200.00","1,204.43","11,750","14,136,911.90"
HATHY,2025/06/26,"1,210.30","1,220.00","1,201.00","1,202.08","9,229","11,163,083.70"
HATHY,2025/06/25,"1,229.90","1,229.90","1,205.00","1,210.30","7,860","9,509,528.10"
HBL,2025/06/29,215.00,219.30,213.00,218.69,"64,547","13,951,622.20"
HBL,2025/06/26,212.00,215.00,212.00,213.05,"30,544","6,512,605.90"
HBL,2025/06/25,217.00,217.00,213.00,213.41,"24,124","5,171,094.20"
HDHPC,2025/06/29,197.80,199.30,195.00,197.06,"149,378","29,312,487.80"
HDHPC,2025/06/26,199.00,200.00,196.60,196.96,"134,752","26,657,470.00"
HDHPC,2025/06/25,200.00,200.00,197.00,197.89,"87,327","17,308,959.40"
HDL,2025/06/29,"1,178.00","1,188.00","1,174.10","1,179.31","32,059","37,783,026.80"
HDL,2025/06/26,"1,180.00","1,181.00","1,175.30","1,177.12","28,039","33,021,431.90"
HDL,2025/06/25,"1,185.00","1,185.00","1,175.30","1,176.97","24,712","29,143,170.80"
HEI,2025/06/29,565.00,565.00,555.10,555.67,"12,575","7,011,508.20"
HEI,2025/06/26,547.40,562.90,547.40,557.49,"9,703","5,413,754.30"
HEI,2025/06/25,560.30,564.00,557.00,558.53,"10,744","6,000,265.90"
HEIP,2025/06/29,360.00,374.50,360.00,360.90,"8,031","2,938,775.20"
HEIP,2025/06/26,358.10,358.20,358.10,358.20,260,"93,125.00"
HEIP,2025/06/25,365.00,367.30,358.10,360.00,"1,725","629,632.50"
HHL,2025/06/29,385.00,390.00,383.00,386.97,"9,605","3,712,968.50"
HHL,2025/06/26,388.00,396.00,383.10,385.76,"12,549","4,872,584.00"
HHL,2025/06/25,394.00,415.90,380.00,390.08,"18,748","7,562,722.70"
HIDCL,2025/06/29,284.20,286.90,282.00,283.98,"299,476","85,049,985.10"
HIDCL,2025/06/26,285.00,289.80,283.20,284.37,"227,498","65,121,448.00"
HIDCL,2025/06/25,289.00,290.00,285.00,285.67,"213,052","61,068,926.50"
HIDCLP,2025/06/29,206.50,209.00,203.50,207.14,"167,196","34,438,764.60"
HIDCLP,2025/06/26,208.00,208.00,203.60,204.05,"311,323","63,727,082.70"
HIDCLP,2025/06/25,209.70,209.70,204.50,206.19,"231,159","47,586,231.70"
HLBSL,2025/06/29,925.40,925.40,908.00,921.99,"2,179","2,002,941.80"
HLBSL,2025/06/26,910.00,918.00,901.00,907.32,"3,689","3,337,584.00"
HLBSL,2025/06/25,914.19,914.19,907.00,909.10,"1,286","1,169,322.00"
HLI,2025/06/29,381.00,389.00,378.00,385.94,"54,022","20,698,806.60"
HLI,2025/06/26,382.04,385.00,377.70,379.46,"60,463","23,023,471.40"
HLI,2025/06/25,383.07,386.00,381.00,382.04,"29,980","11,494,070.90"
HPPL,2025/06/29,530.00,540.60,524.00,527.86,"79,765","42,300,148.40"
HPPL,2025/06/26,558.00,558.00,530.00,540.51,"480,771","259,536,115.10"
HPPL,2025/06/25,592.50,592.50,549.00,550.03,"201,131","112,025,422.50"
HRL,2025/06/29,875.00,900.00,870.50,893.47,"129,876","115,486,185.60"
HRL,2025/06/26,878.00,883.50,875.00,875.64,"52,817","46,417,304.90"
HRL,2025/06/25,885.00,894.00,875.20,876.92,"62,395","54,919,274.30"
HURJA,2025/06/29,258.40,258.40,252.00,254.17,"106,296","26,959,700.00"
HURJA,2025/06/26,255.00,262.00,253.00,253.43,"226,320","58,089,049.40"
HURJA,2025/06/25,257.00,257.00,250.00,254.17,"176,852","44,703,563.40"
ICFC,2025/06/29,591.00,603.00,591.00,599.68,"12,106","7,254,074.80"
ICFC,2025/06/26,600.00,601.80,590.20,594.52,"10,950","6,511,593.00"
ICFC,2025/06/25,610.00,610.00,595.00,598.62,"10,562","6,321,400.10"
ICFCD88,2025/06/29,"1,100.00","1,110.00","1,100.00","1,110.00",75,"83,000.00"
ICFCD88,2025/06/25,"1,081.20","1,100.10","1,081.10","1,100.10",210,"228,821.00"
IGI,2025/06/29,524.00,524.00,510.00,517.24,"13,578","7,008,315.50"
IGI,2025/06/26,518.10,525.00,515.00,516.03,"64,676","33,363,040.10"
IGI,2025/06/25,516.00,518.50,513.00,514.43,"10,975","5,659,986.80"
IHL,2025/06/29,510.00,544.50,510.00,528.62,"3,600","1,870,756.10"
IHL,2025/06/26,505.50,535.00,505.50,513.83,"7,620","3,938,355.00"
IHL,2025/06/25,505.10,514.50,503.40,505.00,"6,886","3,482,358.90"
ILBS,2025/06/29,818.00,828.60,810.00,823.92,"1,619","1,325,810.20"
ILBS,2025/06/26,805.00,853.00,795.20,817.90,"4,772","3,844,750.70"
ILBS,2025/06/25,805.00,815.00,800.10,805.32,"1,787","1,439,199.00"
ILI,2025/06/29,440.00,440.90,432.20,436.93,"18,033","7,856,513.30"
